departure_from,departure_to,availability_start,availability_end,data_generated
Aalesund,Gdansk,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Aberdeen,Gdansk,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Belgrade,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Bishkek,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Bucharest,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Budapest,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Dammam,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Kutaisi,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Madinah,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Male,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Sofia,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Sohag,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Tel Aviv,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Tirana,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Turkistan,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Varna,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Vienna,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Abu Dhabi,Yerevan,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Agadir,London,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Alexandria,Abu Dhabi,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Alghero,Bucharest,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Alicante,Bucharest,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Alicante,Budapest,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Alicante,Gdansk,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Alicante,Katowice,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Alicante,Rome,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Alicante,Warsaw,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Almaty,Abu Dhabi,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Amman,Abu Dhabi,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Amman,Budapest,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Amman,Vienna,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Ancona,Tirana,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Antalya,London,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Athens,Abu Dhabi,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
Athens,Bucharest,2025-03-28T07:00:02,2025-03-31T23:59:59,2025-03-28T07:00:02
