departure_from,departure_to,availability_start,availability_end,data_generated
Aalesund,Gdansk,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Aberdeen,Gdansk,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Abu Dhabi,Budapest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Abu Dhabi,Katowice,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Abu Dhabi,Krakow,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Agadir,Katowice,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Agadir,Warsaw,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Alicante,Belgrade,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Alicante,Bucharest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Alicante,Budapest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Alicante,Milan,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Alicante,Rome,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Ancona,Tirana,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Athens,Bucharest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Athens,Craiova,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Athens,Kutaisi,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Athens,Tel Aviv,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Athens,Tirana,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Athens,Venice,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Baku,Rome,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Belgrade,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Bucharest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Budapest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Cluj,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Iasi,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Katowice,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Krakow,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Kutaisi,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Larnaca,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Milan,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Rome,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Skopje,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Sofia,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Timisoara,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Tirana,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Venice,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Barcelona,Vilnius,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bari,Bucharest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bari,Budapest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bari,Chisinau,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bari,Craiova,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bari,Skopje,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bari,Sofia,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bari,Yerevan,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Banja Luka,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Belgrade,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Bucharest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Budapest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Cluj,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Iasi,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Krakow,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Nis,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Sibiu,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Skopje,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Sofia,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Timisoara,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Tirana,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Tuzla,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Basel/Mulhouse,Warsaw,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Belgrade,Alicante,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Belgrade,Barcelona,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Belgrade,Berlin,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Belgrade,Dortmund,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Belgrade,Friedrichshafen,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Belgrade,Karlsruhe/Baden-Baden,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Belgrade,Larnaca,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Belgrade,Malta,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Belgrade,Memmingen,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Belgrade,Milan,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Belgrade,Paris,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Belgrade,Rome,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bergen,Gdansk,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bergen,Krakow,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bergen,Vilnius,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Berlin,Belgrade,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Berlin,Bucharest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Berlin,Budapest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Berlin,Chisinau,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Berlin,Kutaisi,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Berlin,Skopje,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Berlin,Tirana,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Berlin,Varna,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bilbao,Budapest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bilbao,Rome,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bilbao,Warsaw,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Billund,Bucharest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Billund,Chisinau,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Billund,Cluj,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Billund,Gdansk,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Billund,Iasi,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Billund,Katowice,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Birmingham,Bucharest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Birmingham,Craiova,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Birmingham,Rome,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Birmingham,Sibiu,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bologna,Bucharest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bologna,Cluj,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bologna,Craiova,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bologna,Iasi,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bologna,Skopje,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bologna,Timisoara,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bologna,Tirana,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bologna,Warsaw,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bordeaux,Bucharest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bordeaux,Rome,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bratislava,Bucharest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bratislava,Skopje,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Brussels,Bucharest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Brussels,Budapest,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Brussels,Cluj,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Brussels,Craiova,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Brussels,Iasi,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Brussels,Kutaisi,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Brussels,Sofia,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Brussels,Timisoara,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Brussels,Tirana,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Brussels,Varna,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bucharest,Bari,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bucharest,Berlin,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bucharest,Billund,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bucharest,Birmingham,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bucharest,Bratislava,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bucharest,Catania,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bucharest,Chisinau,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
Bucharest,Eindhoven,2025-10-27T07:00:01,2025-10-30T23:59:59,2025-10-27T07:00:01
