departure_from,departure_to,availability_start,availability_end,data_generated
Aalesund,Gdansk,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Aberdeen,Gdansk,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Abu Dhabi,Budapest,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Abu Dhabi,Krakow,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Alghero,Bucharest,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Alghero,Sofia,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Alicante,Belgrade,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Alicante,Bucharest,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Alicante,Budapest,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Alicante,Cluj,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Alicante,Rome,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Alicante,Warsaw,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Amman,Budapest,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Amman,Vienna,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Ancona,Tirana,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Antalya,Bucharest,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Antalya,London,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Athens,Bucharest,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Athens,Larnaca,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Athens,London,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Athens,Tirana,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Athens,Venice,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Bacau,Rome,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Baku,Rome,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Banja Luka,Basel/Mulhouse,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Belgrade,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Bucharest,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Budapest,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Cluj,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Iasi,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Katowice,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Krakow,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Milan,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Rome,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Skopje,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Sofia,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Timisoara,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Tirana,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Venice,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Barcelona,Vienna,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Bari,Bucharest,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Bari,Budapest,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Bari,Cluj,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Bari,Craiova,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Bari,Sofia,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Bari,Timisoara,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Bari,Tirana,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Bari,Warsaw,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Basel/Mulhouse,Banja Luka,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Basel/Mulhouse,Belgrade,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
Basel/Mulhouse,Bucharest,2025-10-20T07:00:04,2025-10-23T23:59:59,2025-10-20T07:00:04
