departure_from,departure_to,availability_start,availability_end,data_generated
Aberdeen,Gdansk,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Alexandria,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Almaty,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Baku,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Belgrade,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Bishkek,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Bucharest,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Chisinau,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Dammam,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Gabala,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Giza,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Larnaca,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Madinah,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Sarajevo,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Sohag,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Tashkent,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Tirana,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Turkistan,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Abu Dhabi,Varna,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Alexandria,Abu Dhabi,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Alghero,Bucharest,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Alghero,Budapest,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Alicante,Belgrade,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Alicante,Budapest,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Alicante,Cluj,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Alicante,Gdansk,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Alicante,Katowice,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Alicante,Rome,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Alicante,Warsaw,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Almaty,Abu Dhabi,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
Amman,Abu Dhabi,2025-06-22T07:00:01,2025-06-25T23:59:59,2025-06-22T07:00:01
