departure_from,departure_to,availability_start,availability_end,data_generated
Aalesund,Gdansk,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Aberdeen,Gdansk,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Abu Dhabi,Budapest,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Abu Dhabi,Krakow,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Alghero,Bucharest,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Alghero,Sofia,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Alicante,Belgrade,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Alicante,Budapest,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Amman,Vienna,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Ancona,Tirana,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Antalya,Budapest,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Antalya,London,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Athens,Bucharest,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Athens,Larnaca,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Athens,Venice,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Bacau,Rome,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Baku,Budapest,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Baku,Rome,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Banja Luka,Basel/Mulhouse,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Barcelona,Belgrade,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Barcelona,Bucharest,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Barcelona,Budapest,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Barcelona,Cluj,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Barcelona,Milan,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Barcelona,Rome,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Barcelona,Sofia,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Barcelona,Tirana,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Barcelona,Venice,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Barcelona,Vienna,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Bari,Bucharest,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Bari,Budapest,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Bari,Craiova,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
Bari,Sofia,2025-10-22T07:00:01,2025-10-25T23:59:59,2025-10-22T07:00:01
