departure_from,departure_to,availability_start,availability_end,data_generated
Alghero,Belgrade,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Alghero,Bucharest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Alghero,Budapest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Alghero,Sofia,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Alghero,Warsaw,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Alicante,Belgrade,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Alicante,Bratislava,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Alicante,Budapest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Alicante,Gdansk,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Alicante,London,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Alicante,Rome,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Alicante,Venice,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Alicante,Warsaw,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Antalya,Budapest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Antalya,London,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Athens,Bratislava,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Athens,Budapest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Athens,Chisinau,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Athens,Craiova,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Athens,Gdansk,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Athens,London,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Athens,Tel Aviv,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Athens,Tirana,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Athens,Varna,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Athens,Venice,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Athens,Warsaw,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bacau,London,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bacau,Rome,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Banja Luka,Basel/Mulhouse,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Banja Luka,Dortmund,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Belgrade,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Bratislava,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Bucharest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Budapest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Iasi,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Katowice,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Krakow,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Larnaca,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,London,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Milan,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Rome,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Skopje,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Varna,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Venice,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Warsaw,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Barcelona,Wroclaw,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bari,Bucharest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bari,Budapest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bari,Skopje,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bari,Sofia,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bari,Warsaw,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bari,Wroclaw,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Basel/Mulhouse,Skopje,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Basel/Mulhouse,Wroclaw,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Alghero,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Alicante,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Basel/Mulhouse,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Berlin,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Chania,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Dortmund,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Eindhoven,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Friedrichshafen,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Gothenburg,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Hamburg,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Karlsruhe/Baden-Baden,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,London,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Madrid,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Malmo,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Malta,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Memmingen,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Milan,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Palermo,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Paris,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Pisa,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Belgrade,Stockholm,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Berlin,Budapest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Berlin,Cluj,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Berlin,Skopje,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Berlin,Timisoara,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bilbao,Budapest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bilbao,Krakow,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bilbao,London,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bilbao,Milan,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bilbao,Rome,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bilbao,Warsaw,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Billund,Gdansk,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Billund,Iasi,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Birmingham,Rome,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bologna,Chisinau,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bologna,Cluj,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bologna,Iasi,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bologna,Skopje,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bologna,Suceava,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bologna,Timisoara,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bologna,Warsaw,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bordeaux,London,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bratislava,Berlin,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bratislava,Chisinau,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bratislava,Dortmund,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bratislava,Lamezia Terme,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bratislava,Naples,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bratislava,Oslo,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bratislava,Rome,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bratislava,Warsaw,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Brindisi,Bucharest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Brindisi,Warsaw,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Brussels,Bucharest,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Brussels,Iasi,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Brussels,Skopje,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Brussels,Suceava,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bucharest,Alghero,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bucharest,Alicante,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bucharest,Antalya,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bucharest,Athens,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bucharest,Barcelona,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bucharest,Bari,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bucharest,Basel/Mulhouse,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bucharest,Berlin,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bucharest,Billund,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
Bucharest,Birmingham,2026-07-02T07:00:02,2026-07-05T23:59:59,2026-07-02T07:00:02
