departure_from,departure_to,availability_start,availability_end,data_generated
Abu Dhabi,Katowice,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Abu Dhabi,Larnaca,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Alicante,Belgrade,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Alicante,Bratislava,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Alicante,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Alicante,Milan,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Alicante,Rome,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Amman,Budapest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Amman,London,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Athens,Bratislava,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Athens,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Athens,Budapest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Athens,Chisinau,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Athens,Craiova,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Athens,Katowice,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Athens,Kutaisi,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Athens,London,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Athens,Tel Aviv,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Athens,Warsaw,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bacau,London,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Baku,Rome,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Belgrade,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Bratislava,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Budapest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Chisinau,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Cluj,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Iasi,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Katowice,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Krakow,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Milan,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Skopje,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Sofia,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Timisoara,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Vienna,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Barcelona,Vilnius,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bari,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bari,Chisinau,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bari,Craiova,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bari,Skopje,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bari,Sofia,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bari,Timisoara,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bari,Tirana,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bari,Warsaw,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Basel/Mulhouse,Bratislava,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Basel/Mulhouse,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Basel/Mulhouse,Cluj,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Basel/Mulhouse,Iasi,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Belgrade,London,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Belgrade,Lyon,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Belgrade,Malmo,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Belgrade,Paris,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bergen,Gdansk,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bergen,Warsaw,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Berlin,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Berlin,Budapest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Berlin,Kutaisi,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Berlin,Skopje,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Berlin,Varna,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Billund,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Billund,Gdansk,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Billund,Iasi,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Billund,Vilnius,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Birmingham,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bologna,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bologna,Chisinau,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bologna,Cluj,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bologna,Iasi,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bologna,Skopje,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bologna,Suceava,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bordeaux,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bratislava,Basel/Mulhouse,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bratislava,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bratislava,Lamezia Terme,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bratislava,London,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bratislava,Naples,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bratislava,Nis,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bratislava,Oslo,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bratislava,Plovdiv,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bratislava,Varna,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Brindisi,Warsaw,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Brussels,Suceava,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bucharest,Bratislava,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bucharest,Budapest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bucharest,Chisinau,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bucharest,Gdansk,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bucharest,Liverpool,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bucharest,London,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bucharest,Malaga,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bucharest,Stuttgart,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bucharest,Tel Aviv,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bucharest,Warsaw,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Bucharest,Wroclaw,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Baku,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Basel/Mulhouse,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Birmingham,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Brasov,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Brussels,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Catania,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Chisinau,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Dortmund,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Gdansk,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Kutaisi,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,London,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Memmingen,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Milan,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Podgorica,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Stuttgart,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Tallinn,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Targu-Mures,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Tel Aviv,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Vilnius,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Warsaw,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Wroclaw,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Budapest,Yerevan,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Castellon,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Castellon,Cluj,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Catania,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Catania,Budapest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Catania,Gdansk,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Catania,Katowice,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Catania,Vilnius,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Chisinau,Bari,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Chisinau,Brussels,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Chisinau,Bucharest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
Chisinau,Budapest,2026-02-12T07:00:01,2026-02-15T23:59:59,2026-02-12T07:00:01
