departure_from,departure_to,availability_start,availability_end,data_generated
Aalesund,Gdansk,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alghero,Belgrade,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alghero,Bucharest,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alghero,Budapest,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alghero,Sofia,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alghero,Tirana,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alicante,Belgrade,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alicante,Bratislava,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alicante,Budapest,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alicante,Gdansk,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alicante,Katowice,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alicante,London,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alicante,Rome,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Alicante,Warsaw,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Ankara,Budapest,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Antalya,Budapest,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Antalya,London,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Athens,Bratislava,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Athens,Bucharest,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Athens,Budapest,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Athens,Craiova,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Athens,Gdansk,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Athens,Kutaisi,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Athens,Tel Aviv,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Athens,Varna,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Athens,Venice,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bacau,London,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Banja Luka,Basel/Mulhouse,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Banja Luka,Dortmund,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Barcelona,Belgrade,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Barcelona,Chisinau,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Barcelona,Iasi,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Barcelona,Katowice,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Barcelona,Larnaca,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Barcelona,London,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Barcelona,Milan,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Barcelona,Rome,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Barcelona,Skopje,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Barcelona,Venice,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bari,Budapest,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bari,Craiova,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bari,Skopje,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bari,Timisoara,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bari,Tirana,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bari,Warsaw,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bari,Wroclaw,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Basel/Mulhouse,Chisinau,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Basel/Mulhouse,Iasi,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Basel/Mulhouse,Krakow,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Basel/Mulhouse,Podgorica,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Basel/Mulhouse,Warsaw,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Basel/Mulhouse,Wroclaw,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Barcelona,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Basel/Mulhouse,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Berlin,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Dortmund,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Eindhoven,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Friedrichshafen,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Hamburg,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Larnaca,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Madrid,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Malmo,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Malta,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Milan,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Nice,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Paris,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Pisa,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Belgrade,Stockholm,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bergen,Gdansk,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bilbao,London,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bilbao,Milan,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bilbao,Rome,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bilbao,Warsaw,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Billund,Iasi,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bologna,Cluj,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bratislava,Berlin,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bratislava,Dortmund,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bratislava,Kutaisi,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bratislava,Naples,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bratislava,Rome,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bratislava,Tel Aviv,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bratislava,Warsaw,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Brindisi,Katowice,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Brussels,Bucharest,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Brussels,Iasi,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Brussels,Suceava,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Alghero,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Alicante,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Athens,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Barcelona,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Bari,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Basel/Mulhouse,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Berlin,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Billund,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Bordeaux,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Brindisi,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Brussels,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Budapest,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Castellon,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Catania,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Chisinau,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Faro,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Gdansk,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Gran Canaria,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Hamburg,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Heraklion,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Kefallinia,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Kerkyra,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Larnaca,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Liverpool,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,London,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Madrid,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Malaga,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Malta,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Milan,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Mykonos,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Naples,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Nice,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Nuremberg,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Palma De Mallorca,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Pescara,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Pisa,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Rome,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Santorini,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Stockholm,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Stuttgart,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Tenerife,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Turin,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Valencia,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Wroclaw,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Yerevan,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Zakinthos Island,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Bucharest,Zaragoza,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Alghero,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Alicante,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Baku,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Berlin,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Billund,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Brussels,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Burgas,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Dortmund,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Dubrovnik,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Gdansk,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Genoa,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Kefallinia,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Krakow,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Larnaca,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,London,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Milan,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Naples,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Palma De Mallorca,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Paris,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Skopje,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Stuttgart,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Tallinn,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Tel Aviv,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Turin,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Varna,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
Budapest,Wroclaw,2026-07-10T07:00:02,2026-07-13T23:59:59,2026-07-10T07:00:02
