departure_from,departure_to,availability_start,availability_end,data_generated
Aberdeen,Gdansk,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Abu Dhabi,Budapest,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Abu Dhabi,Katowice,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Abu Dhabi,Krakow,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Abu Dhabi,Larnaca,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Agadir,Katowice,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Alicante,Belgrade,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Alicante,Bratislava,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Alicante,Bucharest,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Alicante,Budapest,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Alicante,Gdansk,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Alicante,Katowice,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Alicante,Milan,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Alicante,Rome,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Alicante,Warsaw,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Amman,Budapest,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Amman,London,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Athens,Bratislava,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Athens,Bucharest,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Athens,Budapest,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Athens,Chisinau,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Athens,Katowice,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Athens,Kutaisi,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Athens,Larnaca,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Athens,London,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Athens,Tel Aviv,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Athens,Venice,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Athens,Warsaw,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
Bacau,London,2025-12-16T07:00:04,2025-12-19T23:59:59,2025-12-16T07:00:04
