departure_from,departure_to,availability_start,availability_end,data_generated
Aalesund,Gdansk,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Aberdeen,Gdansk,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Abu Dhabi,Budapest,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Abu Dhabi,Katowice,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Abu Dhabi,Sofia,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Agadir,Katowice,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Agadir,Warsaw,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Alicante,Belgrade,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Alicante,Bratislava,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Alicante,Milan,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Ancona,Tirana,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Athens,Bratislava,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Athens,Budapest,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Athens,Craiova,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Athens,Katowice,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Athens,Kutaisi,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Athens,Tirana,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Athens,Venice,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Athens,Warsaw,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Belgrade,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Bratislava,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Bucharest,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Budapest,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Cluj,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Iasi,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Katowice,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Krakow,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Larnaca,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Milan,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Rome,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Skopje,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Sofia,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Timisoara,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Tirana,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Venice,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Vienna,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Vilnius,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Warsaw,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Barcelona,Wroclaw,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Bari,Bucharest,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Bari,Budapest,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Bari,Craiova,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Bari,Skopje,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Bari,Sofia,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Bari,Timisoara,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Bari,Tirana,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Bari,Warsaw,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Bari,Wroclaw,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Bari,Yerevan,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Banja Luka,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Belgrade,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Bratislava,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Bucharest,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Budapest,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Cluj,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Iasi,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Krakow,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Nis,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Ohrid,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Skopje,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Sofia,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Timisoara,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Tirana,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Tuzla,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Warsaw,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Basel/Mulhouse,Wroclaw,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Belgrade,Dortmund,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Belgrade,Larnaca,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Belgrade,Memmingen,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
Bergen,Gdansk,2026-01-10T07:00:01,2026-01-13T23:59:59,2026-01-10T07:00:01
