departure_from,departure_to,availability_start,availability_end,data_generated
Aalesund,Gdansk,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Aberdeen,Gdansk,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Alicante,Belgrade,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Alicante,Gdansk,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Alicante,Milan,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Alicante,Rome,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Athens,Bratislava,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Athens,Budapest,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Athens,Craiova,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Athens,Kutaisi,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Athens,Tirana,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Athens,Warsaw,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Bacau,London,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Baku,Budapest,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Baku,Rome,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Banja Luka,Dortmund,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Barcelona,Bratislava,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Barcelona,Budapest,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Barcelona,Skopje,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Barcelona,Sofia,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Barcelona,Venice,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Barcelona,Vienna,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Barcelona,Vilnius,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Barcelona,Warsaw,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Barcelona,Wroclaw,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Bari,Skopje,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Bari,Sofia,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Bari,Warsaw,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Bari,Wroclaw,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Basel/Mulhouse,Belgrade,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Basel/Mulhouse,Bratislava,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Basel/Mulhouse,Budapest,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
Basel/Mulhouse,Nis,2026-03-03T07:00:01,2026-03-05T23:59:59,2026-03-03T07:00:01
